Tributary,Confluence,km
Amazon,,6992
Trombetas,Amazon,760
Negro,Amazon,2250
Branco,Negro,560
Vaupés,Negro,1050
Japurá,Amazon,2820
Apaporis,Japurá,1370
Putumayo,Amazon,1575
Napo,Amazon,1130
Marañon,Amazon,1415
Morona,Marañon,550
Huallaga,Marañon,1100
Pastaza,Marañon,710
Tigre,Marañon,760
Ucayali,Amazon,1900
Apurimac,Ucayali,1070
Mantaro,Apurimac,470
Juruá,Amazon,2400
Purus,Amazon,3211
Acre,Purus,680
Madeira,Amazon,3250
Guaporé,Madeira,1749
Mamoré,Madeira,1930
Machado,Madeira,820
Beni,Madeira,1599
Madre de Dios,Beni,1130
Tapajós,Amazon,1992
Teles Pires,Tapajós,1370
Juruena,Tapajós,1240
Arinos,Juruena,680
Xingu,Amazon,1979
Iriri,Xingu,1300
Tocantins,Amazon,2639
Araguaia,Tocantins,2627