cod_ibge,uf,populacao
11,Rondônia,1787279
12,Acre,816687
13,Amazonas,4001667
14,Roraima,514229
15,Pará,8272724
16,Amapá,782295
17,Tocantins,1532902
21,Maranhão,6954036
22,Piauí,3212180
23,Ceará,8963663
24,Rio Grande do Norte,3474998
25,Paraíba,3999415
26,Pernambuco,9410336
27,Alagoas,3358963
28,Sergipe,2265779
29,Bahia,15276566
31,Minas Gerais,20997560
32,Espírito Santo,3973697
33,Rio de Janeiro,16635996
35,São Paulo,44749699
41,Paraná,11242720
42,Santa Catarina,6910553
43,Rio Grande do Sul,11286500
50,Mato Grosso do Sul,2682386
51,Mato Grosso,3305531
52,Goiás,6695855
53,Distrito Federal,2977216