cod_ibge,municipio,obitos
250030,Alagoa Grande,1
250040,Alagoa Nova,3
250053,Alcantil,2
250060,Alhandra,6
250073,Amparo,1
250077,Aparecida,4
250090,Arara,1
250100,Araruna,5
250110,Areia,5
250115,Areia de Baraúnas,1
250120,Areial,3
250130,Aroeiras,3
250135,Assunção,1
250140,Baía da Traição,1
250150,Bananeiras,7
250153,Baraúna,1
250160,Barra de Santa Rosa,3
250157,Barra de Santana,1
250180,Bayeux,8
250190,Belém,5
250200,Belém do Brejo do Cruz,1
250215,Boa Vista,3
250220,Bom Jesus,2
250240,Bonito de Santa Fé,1
250250,Boqueirão,2
250270,Borborema,2
250280,Brejo do Cruz,6
250300,Caaporã,5
250310,Cabaceiras,2
250320,Cabedelo,3
250330,Cachoeira dos Índios,1
250340,Cacimba de Areia,2
250350,Cacimba de Dentro,4
250370,Cajazeiras,18
250380,Caldas Brandão,2
250400,Campina Grande,246
250410,Carrapateira,1
250415,Casserengue,2
250430,Catolé do Rocha,5
250435,Caturité,2
250440,Conceição,4
250450,Condado,1
250460,Conde,1
250470,Congo,3
250480,Coremas,2
250490,Cruz do Espírito Santo,3
250500,Cubati,1
250510,Cuité,7
250520,Cuitegi,2
250535,Damião,5
250540,Desterro,1
250560,Diamante,1
250570,Dona Inês,1
250580,Duas Estradas,1
250600,Esperança,5
250630,Guarabira,18
250640,Gurinhém,3
250650,Gurjão,1
250670,Imaculada,2
250680,Ingá,2
250690,Itabaiana,2
250700,Itaporanga,6
250710,Itapororoca,2
250730,Jacaraú,4
250740,Jericó,2
250750,João Pessoa,221
250770,Juazeirinho,9
250780,Junco do Seridó,4
250790,Juripiranga,1
250800,Juru,3
250820,Lagoa de Dentro,3
250860,Lucena,5
250880,Malta,5
250890,Mamanguape,20
250905,Marcação,3
250910,Mari,3
250920,Massaranduba,3
250939,Maturéia,1
250940,Mogeiro,2
250950,Montadas,1
250960,Monte Horebe,4
250970,Monteiro,6
250980,Mulungu,2
250990,Natuba,2
251010,Nova Floresta,4
251020,Nova Olinda,2
251050,Olivedos,2
251060,Ouro Velho,1
251070,Passagem,1
251080,Patos,27
251090,Paulista,6
251100,Pedra Branca,1
251110,Pedra Lavrada,2
251120,Pedras de Fogo,5
251272,Pedro Régis,2
251130,Piancó,7
251140,Picuí,4
251150,Pilar,4
251170,Pilõezinhos,1
251180,Pirpirituba,2
251190,Pitimbu,2
251200,Pocinhos,4
251210,Pombal,10
251230,Princesa Isabel,2
251240,Puxinanã,2
251250,Queimadas,10
251260,Quixabá,1
251270,Remígio,1
251274,Riachão,1
251275,Riachão do Bacamarte,7
251276,Riachão do Poço,2
251290,Rio Tinto,5
251310,Salgado de São Félix,2
251315,Santa Cecília,1
251320,Santa Cruz,2
251330,Santa Helena,1
251335,Santa Inês,1
251340,Santa Luzia,10
251370,Santa Rita,14
251380,Santa Teresinha,3
251350,Santana de Mangueira,1
251360,Santana dos Garrotes,1
251392,São Bentinho,1
251390,São Bento,1
251394,São Domingos do Cariri,1
251400,São João do Cariri,2
250070,São João do Rio do Peixe,2
251410,São João do Tigre,2
251420,São José da Lagoa Tapada,2
251430,São José de Caiana,2
251440,São José de Espinharas,1
251450,São José de Piranhas,5
251460,São José do Bonfim,1
251480,São José dos Cordeiros,2
251490,São Mamede,1
251500,São Miguel de Taipu,1
251540,São Vicente do Seridó,4
251530,Sapé,13
251550,Serra Branca,1
251593,Sertãozinho,2
251597,Sobrado,3
251600,Solânea,5
251610,Soledade,4
251615,Sossêgo,1
251620,Sousa,20
251630,Sumé,5
251640,Tacima,2
251650,Taperoá,3
251660,Tavares,3
251670,Teixeira,2
251680,Triunfo,5
251690,Uiraúna,2
251700,Umbuzeiro,1
251720,Vieirópolis,3
250550,Vista Serrana,1
251740,Zabelê,3
260005,Abreu e Lima,7
260010,Afogados da Ingazeira,16
260020,Afrânio,6
260030,Agrestina,7
260040,Água Preta,3
260050,Águas Belas,6
260060,Alagoinha,3
260070,Aliança,11
260080,Altinho,6
260090,Amaraji,3
260100,Angelim,2
260105,Araçoiaba,2
260110,Araripina,27
260120,Arcoverde,12
260130,Barra de Guabiraba,1
260140,Barreiros,3
260150,Belém de Maria,5
260160,Belém do São Francisco,3
260170,Belo Jardim,10
260180,Betânia,1
260190,Bezerros,11
260200,Bodocó,2
260210,Bom Conselho,9
260220,Bom Jardim,2
260230,Bonito,3
260240,Brejão,3
260260,Brejo da Madre de Deus,5
260270,Buenos Aires,2
260280,Buíque,7
260290,Cabo de Santo Agostinho,34
260300,Cabrobó,8
260310,Cachoeirinha,6
260320,Caetés,6
260330,Calçado,4
260345,Camaragibe,6
260350,Camocim de São Félix,6
260360,Camutanga,1
260370,Canhotinho,11
260380,Capoeiras,4
260390,Carnaíba,5
260392,Carnaubeira da Penha,1
260400,Carpina,4
260410,Caruaru,77
260415,Casinhas,3
260420,Catende,4
260440,Chã de Alegria,2
260450,Chã Grande,1
260460,Condado,4
260470,Correntes,1
260480,Cortês,1
260490,Cumaru,4
260500,Cupira,8
260510,Custódia,14
260515,Dormentes,7
260520,Escada,12
260530,Exu,10
260540,Feira Nova,2
260550,Ferreiros,3
260560,Flores,13
260570,Floresta,7
260580,Frei Miguelinho,4
260590,Gameleira,1
260600,Garanhuns,34
260610,Glória do Goitá,1
260620,Goiana,20
260630,Granito,2
260640,Gravatá,14
260650,Iati,2
260660,Ibimirim,12
260680,Igarassu,23
260690,Iguaracy,1
260760,Ilha de Itamaracá,3
260700,Inajá,4
260710,Ingazeira,1
260720,Ipojuca,21
260730,Ipubi,10
260740,Itacuruba,2
260750,Itaíba,6
260765,Itambé,6
260775,Itapissuma,5
260780,Itaquitinga,1
260790,Jaboatão dos Guararapes,40
260795,Jaqueira,1
260800,Jataúba,5
260805,Jatobá,7
260810,João Alfredo,1
260820,Joaquim Nabuco,1
260825,Jucati,4
260830,Jupi,3
260840,Jurema,2
260850,Lagoa de Itaenga,1
260845,Lagoa do Carro,3
260860,Lagoa do Ouro,3
260870,Lagoa dos Gatos,1
260875,Lagoa Grande,10
260880,Lajedo,12
260890,Limoeiro,5
260900,Macaparana,1
260910,Machados,3
260915,Manari,3
260920,Maraial,1
260930,Mirandiba,3
261430,Moreilândia,1
260940,Moreno,5
260950,Nazaré da Mata,4
260960,Olinda,25
260980,Orocó,2
260990,Ouricuri,41
261000,Palmares,16
261010,Palmeirina,3
261020,Panelas,6
261030,Paranatama,4
261040,Parnamirim,5
261050,Passira,10
261060,Paudalho,9
261070,Paulista,36
261080,Pedra,4
261090,Pesqueira,14
261100,Petrolândia,6
261110,Petrolina,205
261130,Pombos,6
261140,Primavera,2
261150,Quipapá,8
261153,Quixaba,2
261160,Recife,496
261180,Ribeirão,1
261190,Rio Formoso,6
261200,Sairé,4
261210,Salgadinho,3
261220,Salgueiro,18
261230,Saloá,2
261240,Sanharó,11
261245,Santa Cruz,1
261247,Santa Cruz da Baixa Verde,3
261250,Santa Cruz do Capibaribe,9
261255,Santa Filomena,4
261260,Santa Maria da Boa Vista,15
261280,Santa Terezinha,2
261300,São Bento do Una,6
261310,São Caitano,5
261320,São João,3
261330,São Joaquim do Monte,3
261340,São José da Coroa Grande,3
261350,São José do Belmonte,11
261360,São José do Egito,10
261370,São Lourenço da Mata,10
261380,São Vicente Ferrer,3
261390,Serra Talhada,35
261400,Serrita,4
261410,Sertânia,15
261420,Sirinhaém,12
261450,Surubim,4
261460,Tabira,4
261470,Tacaimbó,10
261480,Tacaratu,1
261485,Tamandaré,1
261500,Taquaritinga do Norte,11
261510,Terezinha,1
261520,Terra Nova,1
261530,Timbaúba,5
261540,Toritama,4
261550,Tracunhaém,3
261560,Trindade,8
261580,Tupanatinga,4
261590,Tuparetama,1
261600,Venturosa,1
261610,Verdejante,2
261620,Vertentes,11
261630,Vicência,3
261640,Vitória de Santo Antão,13
270010,Água Branca,5
270020,Anadia,1
270030,Arapiraca,172
270040,Atalaia,7
270050,Barra de Santo Antônio,1
270060,Barra de São Miguel,1
270070,Batalha,3
270110,Branquinha,4
270120,Cacimbinhas,5
270130,Cajueiro,1
270140,Campo Alegre,13
270150,Campo Grande,3
270160,Canapi,3
270170,Capela,1
270190,Chã Preta,2
270200,Coité do Nóia,4
270210,Colônia Leopoldina,7
270230,Coruripe,18
270235,Craíbas,3
270240,Delmiro Gouveia,8
270250,Dois Riachos,2
270255,Estrela de Alagoas,1
270260,Feira Grande,1
270280,Flexeiras,3
270290,Girau do Ponciano,8
270300,Ibateguara,5
270310,Igaci,8
270320,Igreja Nova,2
270330,Inhapi,6
270340,Jacaré dos Homens,1
270350,Jacuípe,1
270360,Japaratinga,3
270375,Jequiá da Praia,3
270380,Joaquim Gomes,1
270400,Junqueiro,6
270410,Lagoa da Canoa,3
270420,Limoeiro de Anadia,6
270430,Maceió,199
270440,Major Isidoro,7
270450,Maragogi,3
270460,Maravilha,1
270470,Marechal Deodoro,5
270480,Maribondo,2
270500,Mata Grande,1
270510,Matriz de Camaragibe,5
270520,Messias,4
270540,Monteirópolis,1
270550,Murici,4
270560,Novo Lino,6
270570,Olho d'Água das Flores,4
270610,Ouro Branco,4
270620,Palestina,2
270630,Palmeira dos Índios,17
270640,Pão de Açúcar,2
270642,Pariconha,3
270644,Paripueira,1
270650,Passo de Camaragibe,5
270660,Paulo Jacinto,1
270670,Penedo,9
270680,Piaçabuçu,4
270690,Pilar,10
270710,Piranhas,10
270720,Poço das Trincheiras,2
270730,Porto Calvo,4
270750,Porto Real do Colégio,3
270770,Rio Largo,10
270800,Santana do Ipanema,20
270810,Santana do Mundaú,2
270820,São Brás,2
270830,São José da Laje,5
270840,São José da Tapera,9
270850,São Luís do Quitunde,2
270860,São Miguel dos Campos,12
270870,São Miguel dos Milagres,1
270880,São Sebastião,3
270890,Satuba,2
270895,Senador Rui Palmeira,2
270900,Tanque d'Arca,1
270910,Taquarana,4
270915,Teotônio Vilela,4
270920,Traipu,2
270930,União dos Palmares,9
270940,Viçosa,4
280020,Aquidabã,8
280030,Aracaju,188
280050,Areia Branca,5
280060,Barra dos Coqueiros,3
280067,Boquim,8
280070,Brejo Grande,4
280100,Campo do Brito,1
280110,Canhoba,1
280120,Canindé de São Francisco,13
280130,Capela,6
280140,Carira,7
280150,Carmópolis,2
280160,Cedro de São João,3
280170,Cristinápolis,6
280190,Cumbe,4
280210,Estância,12
280230,Frei Paulo,6
280240,Gararu,3
280260,Gracho Cardoso,1
280290,Itabaiana,20
280300,Itabaianinha,7
280310,Itabi,2
280320,Itaporanga d'Ajuda,8
280330,Japaratuba,4
280340,Japoatã,7
280350,Lagarto,15
280360,Laranjeiras,3
280390,Malhador,1
280400,Maruim,7
280410,Moita Bonita,5
280420,Monte Alegre de Sergipe,3
280430,Muribeca,1
280440,Neópolis,1
280445,Nossa Senhora Aparecida,6
280450,Nossa Senhora da Glória,11
280460,Nossa Senhora das Dores,4
280480,Nossa Senhora do Socorro,9
280490,Pacatuba,1
280500,Pedra Mole,1
280510,Pedrinhas,2
280530,Pirambu,1
280540,Poço Redondo,8
280550,Poço Verde,7
280560,Porto da Folha,2
280570,Propriá,5
280580,Riachão do Dantas,3
280590,Riachuelo,1
280600,Ribeirópolis,2
280610,Rosário do Catete,6
280620,Salgado,6
280630,Santa Luzia do Itanhy,3
280640,Santana do São Francisco,2
280660,Santo Amaro das Brotas,1
280670,São Cristóvão,6
280680,São Domingos,1
280710,Simão Dias,7
280740,Tobias Barreto,4
280750,Tomar do Geru,1
280760,Umbaúba,4
290020,Abaré,2
290030,Acajutiba,1
290035,Adustina,3
290040,Água Fria,1
290070,Alagoinhas,62
290080,Alcobaça,9
290100,Amargosa,2
290110,Amélia Rodrigues,10
290115,América Dourada,4
290120,Anagé,6
290130,Andaraí,6
290135,Andorinha,2
290150,Anguera,1
290160,Antas,5
290180,Antônio Gonçalves,2
290190,Aporá,5
290205,Araças,6
290200,Aracatu,2
290210,Araci,3
290220,Aramari,1
290225,Arataca,4
290230,Aratuípe,1
290240,Aurelino Leal,3
290250,Baianópolis,2
290260,Baixa Grande,2
290265,Banzaê,1
290270,Barra,3
290280,Barra da Estiva,8
290290,Barra do Choça,5
290300,Barra do Mendes,2
290310,Barra do Rocha,1
290320,Barreiras,92
290330,Barro Preto,2
290350,Belo Campo,3
290370,Boa Nova,6
290380,Boa Vista do Tupim,2
290390,Bom Jesus da Lapa,15
290395,Bom Jesus da Serra,1
290400,Boninal,1
290405,Bonito,4
290410,Boquira,2
290420,Botuporã,1
290430,Brejões,3
290440,Brejolândia,4
290450,Brotas de Macaúbas,5
290460,Brumado,17
290475,Buritirama,1
290480,Caatiba,2
290490,Cachoeira,2
290510,Caém,3
290520,Caetité,14
290530,Cafarnaum,2
290550,Caldeirão Grande,4
290560,Camacan,1
290570,Camaçari,28
290580,Camamu,7
290590,Campo Alegre de Lourdes,3
290600,Campo Formoso,6
290630,Canavieiras,3
290650,Candeias,16
290660,Candiba,2
290670,Cândido Sales,5
290680,Cansanção,10
290682,Canudos,4
290687,Capim Grosso,9
290689,Caraíbas,4
290690,Caravelas,6
290710,Carinhanha,6
290720,Casa Nova,16
290730,Castro Alves,2
290750,Catu,7
290755,Caturama,2
290760,Central,5
290770,Chorrochó,4
290780,Cícero Dantas,11
290810,Cocos,1
290820,Conceição da Feira,4
290830,Conceição do Almeida,5
290840,Conceição do Coité,1
290850,Conceição do Jacuípe,7
290860,Conde,3
290870,Condeúba,1
290890,Coração de Maria,5
290910,Coribe,1
290920,Coronel João Sá,3
290930,Correntina,24
290940,Cotegipe,2
290960,Crisópolis,6
290970,Cristópolis,9
290980,Cruz das Almas,9
290990,Curaçá,6
291005,Dias d'Ávila,1
291010,Dom Basílio,4
291030,Elísio Medrado,3
291040,Encruzilhada,7
291050,Entre Rios,20
291060,Esplanada,8
291070,Euclides da Cunha,14
291072,Eunápolis,15
291075,Fátima,5
291080,Feira de Santana,32
291085,Filadélfia,6
291090,Firmino Alves,4
291100,Floresta Azul,2
291110,Formosa do Rio Preto,3
291120,Gandu,5
291125,Gavião,3
291130,Gentio do Ouro,2
291140,Glória,3
291150,Gongogi,1
291160,Governador Mangabeira,3
291170,Guanambi,56
291180,Guaratinga,4
291185,Heliópolis,2
291190,Iaçu,3
291200,Ibiassucê,1
291210,Ibicaraí,6
291220,Ibicoara,3
291230,Ibicuí,1
291240,Ibipeba,5
291250,Ibipitanga,1
291270,Ibirapitanga,10
291280,Ibirapuã,1
291300,Ibitiara,2
291310,Ibititá,1
291320,Ibotirama,4
291340,Igaporã,1
291345,Igrapiúna,4
291360,Ilhéus,37
291370,Inhambupe,6
291390,Ipiaú,5
291400,Ipirá,4
291410,Ipupiara,1
291420,Irajuba,1
291430,Iramaia,2
291440,Iraquara,10
291450,Irará,1
291460,Irecê,54
291465,Itabela,8
291470,Itaberaba,3
291480,Itabuna,68
291490,Itacaré,5
291500,Itaeté,1
291510,Itagi,3
291535,Itaguaçu da Bahia,7
291550,Itajuípe,2
291560,Itamaraju,17
291570,Itamari,1
291580,Itambé,4
291610,Itaparica,3
291630,Itapebi,4
291640,Itapetinga,11
291660,Itapitanga,1
291670,Itaquara,2
291680,Itarantim,1
291685,Itatim,3
291690,Itiruçu,1
291700,Itiúba,4
291710,Itororó,2
291720,Ituaçu,4
291730,Ituberá,3
291733,Iuiú,3
291735,Jaborandi,2
291740,Jacaraci,3
291750,Jacobina,31
291760,Jaguaquara,10
291770,Jaguarari,12
291780,Jaguaripe,3
291790,Jandaíra,3
291800,Jequié,59
291810,Jeremoabo,12
291820,Jiquiriçá,1
291830,Jitaúna,3
291840,Juazeiro,39
291845,Jucuruçu,1
291850,Jussara,3
291860,Jussiape,1
291870,Lafaiete Coutinho,1
291875,Lagoa Real,2
291880,Laje,3
291905,Lajedo do Tabocal,2
291915,Lapão,2
291920,Lauro de Freitas,16
291950,Livramento de Nossa Senhora,8
291955,Luís Eduardo Magalhães,20
291980,Macaúbas,6
291990,Macururé,1
291995,Maetinga,1
292010,Mairi,5
292020,Malhada,1
292030,Malhada de Pedras,3
292040,Manoel Vitorino,4
292050,Maracás,7
292070,Maraú,4
292090,Mascote,2
292100,Mata de São João,8
292105,Matina,1
292110,Medeiros Neto,4
292120,Miguel Calmon,3
292140,Mirangaba,2
292145,Mirante,2
292150,Monte Santo,9
292160,Morpará,2
292170,Morro do Chapéu,11
292180,Mortugaba,3
292190,Mucugê,3
292200,Mucuri,15
292210,Mundo Novo,1
292220,Muniz Ferreira,1
292225,Muquém de São Francisco,3
292230,Muritiba,6
292240,Mutuípe,4
292250,Nazaré,2
292265,Nordestina,1
292280,Nova Itarana,4
292290,Nova Soure,9
292300,Nova Viçosa,11
292303,Novo Horizonte,1
292310,Olindina,4
292320,Oliveira dos Brejinhos,5
292330,Ouriçangas,1
292335,Ourolândia,9
292340,Palmas de Monte Alto,4
292350,Palmeiras,5
292360,Paramirim,6
292370,Paratinga,10
292380,Paripiranga,2
292390,Pau Brasil,1
292400,Paulo Afonso,16
292405,Pé de Serra,1
292410,Pedrão,1
292420,Pedro Alexandre,1
292430,Piatã,1
292440,Pilão Arcado,2
292450,Pindaí,2
292460,Pindobaçu,3
292470,Piripá,2
292480,Piritiba,9
292490,Planaltino,2
292500,Planalto,5
292510,Poções,13
292520,Pojuca,10
292525,Ponto Novo,7
292530,Porto Seguro,46
292540,Potiraguá,6
292550,Prado,9
292560,Presidente Dutra,5
292575,Presidente Tancredo Neves,8
292580,Queimadas,2
292593,Quixabeira,3
292595,Rafael Jambeiro,2
292600,Remanso,9
292620,Riachão das Neves,5
292630,Riachão do Jacuípe,1
292640,Riacho de Santana,5
292660,Ribeira do Pombal,16
292665,Ribeirão do Largo,4
292670,Rio de Contas,4
292680,Rio do Antônio,2
292690,Rio do Pires,1
292700,Rio Real,11
292710,Rodelas,3
292720,Ruy Barbosa,3
292730,Salinas da Margarida,2
292740,Salvador,252
292750,Santa Bárbara,2
292760,Santa Brígida,4
292805,Santa Luzia,4
292810,Santa Maria da Vitória,5
292840,Santa Rita de Cássia,5
292850,Santa Teresinha,5
292800,Santaluz,1
292820,Santana,1
292830,Santanópolis,1
292860,Santo Amaro,2
292870,Santo Antônio de Jesus,48
292890,São Desidério,12
292910,São Felipe,1
292900,São Félix,4
292905,São Félix do Coribe,2
292920,São Francisco do Conde,1
292925,São Gabriel,4
292935,São José da Vitória,7
292950,São Sebastião do Passé,15
292960,Sapeaçu,1
292970,Sátiro Dias,2
292975,Saubara,1
292980,Saúde,2
292990,Seabra,7
293000,Sebastião Laranjeiras,2
293010,Senhor do Bonfim,14
293020,Sento Sé,3
293015,Serra do Ramalho,3
293030,Serra Dourada,3
293040,Serra Preta,2
293050,Serrinha,4
293060,Serrolândia,1
293070,Simões Filho,10
293075,Sítio do Mato,4
293076,Sítio do Quinto,2
293077,Sobradinho,8
293080,Souto Soares,3
293100,Tanhaçu,9
293105,Tanque Novo,5
293120,Taperoá,4
293130,Tapiramutá,5
293135,Teixeira de Freitas,49
293150,Teofilândia,1
293160,Teolândia,2
293180,Tremedal,1
293190,Tucano,6
293200,Uauá,5
293210,Ubaíra,4
293220,Ubaitaba,9
293230,Ubatã,4
293240,Uibaí,2
293250,Una,5
293260,Urandi,5
293270,Uruçuca,7
293280,Utinga,1
293290,Valença,12
293300,Valente,1
293305,Várzea da Roça,2
293315,Várzea Nova,1
293317,Varzedo,1
293320,Vera Cruz,4
293330,Vitória da Conquista,134
293340,Wagner,2
293345,Wanderley,2
293350,Wenceslau Guimarães,5
293360,Xique-Xique,1
290000,Município ignorado - BA,1
310020,Abaeté,4
310030,Abre Campo,1
310070,Água Comprida,1
310080,Aguanil,1
310090,Águas Formosas,1
310100,Águas Vermelhas,2
310110,Aimorés,3
310120,Aiuruoca,5
310150,Além Paraíba,4
310160,Alfenas,31
310163,Alfredo Vasconcelos,3
310170,Almenara,9
310180,Alpercata,2
310190,Alpinópolis,2
310200,Alterosa,4
315350,Alto Jequitibá,1
310210,Alto Rio Doce,3
310230,Alvinópolis,2
310260,Andradas,6
310290,Antônio Carlos,1
310300,Antônio Dias,2
310320,Araçaí,1
310340,Araçuaí,1
310350,Araguari,19
310380,Arapuá,1
310390,Araújos,1
310400,Araxá,12
310410,Arceburgo,1
310420,Arcos,12
310430,Areado,1
310445,Aricanduva,1
310450,Arinos,10
310460,Astolfo Dutra,2
310470,Ataléia,3
310480,Augusto de Lima,3
310490,Baependi,3
310500,Baldim,2
310510,Bambuí,2
310530,Bandeira do Sul,1
310540,Barão de Cocais,5
310560,Barbacena,50
310590,Barroso,1
310600,Bela Vista de Minas,8
310620,Belo Horizonte,405
310630,Belo Oriente,5
310660,Bertópolis,1
310670,Betim,49
310690,Bicas,3
310710,Boa Esperança,3
310730,Bocaiúva,17
310740,Bom Despacho,6
310750,Bom Jardim de Minas,4
310770,Bom Jesus do Amparo,7
310780,Bom Jesus do Galho,1
310800,Bom Sucesso,1
310820,Bonfinópolis de Minas,1
310825,Bonito de Minas,2
310830,Borda da Mata,3
310855,Brasilândia de Minas,3
310860,Brasília de Minas,4
310890,Brazópolis,3
310900,Brumadinho,7
310910,Bueno Brandão,2
310920,Buenópolis,1
310930,Buritis,12
310940,Buritizeiro,9
310945,Cabeceira Grande,1
310950,Cabo Verde,1
310970,Cachoeira de Minas,2
310270,Cachoeira de Pajeú,2
310990,Caetanópolis,1
311000,Caeté,3
311030,Caldas,3
311050,Camanducaia,1
311060,Cambuí,4
311070,Cambuquira,2
311080,Campanário,4
311090,Campanha,14
311100,Campestre,4
311110,Campina Verde,10
311120,Campo Belo,4
311130,Campo do Meio,4
311140,Campo Florido,2
311150,Campos Altos,17
311160,Campos Gerais,3
311180,Canápolis,1
311200,Candeias,2
311205,Cantagalo,1
311220,Capela Nova,1
311230,Capelinha,10
311240,Capetinga,2
311260,Capinópolis,3
311270,Capitão Enéas,4
311280,Capitólio,7
311300,Caraí,8
311320,Carandaí,9
311330,Carangola,3
311340,Caratinga,16
311350,Carbonita,5
311370,Carlos Chagas,3
311390,Carmo da Cachoeira,3
311410,Carmo de Minas,1
311420,Carmo do Cajuru,4
311430,Carmo do Paranaíba,4
311440,Carmo do Rio Claro,2
311450,Carmópolis de Minas,4
311455,Carneirinho,2
311480,Carvalhos,1
311490,Casa Grande,1
311500,Cascalho Rico,2
311510,Cássia,3
311530,Cataguases,12
311535,Catas Altas,1
311545,Catuji,6
311547,Catuti,2
311550,Caxambu,5
311570,Central de Minas,3
311580,Centralina,2
311590,Chácara,1
311650,Claro dos Poções,2
311660,Cláudio,5
311670,Coimbra,1
311680,Coluna,3
311690,Comendador Gomes,1
311700,Comercinho,2
311710,Conceição da Aparecida,2
311730,Conceição das Alagoas,2
311770,Conceição do Rio Verde,3
311783,Cônego Marinho,1
311790,Congonhal,2
311800,Congonhas,17
311820,Conquista,1
311830,Conselheiro Lafaiete,19
311840,Conselheiro Pena,4
311860,Contagem,46
311870,Coqueiral,1
311880,Coração de Jesus,4
311890,Cordisburgo,4
311910,Corinto,28
311930,Coromandel,3
311940,Coronel Fabriciano,8
311960,Coronel Pacheco,2
311970,Coronel Xavier Chaves,2
311980,Córrego Danta,3
311995,Córrego Fundo,2
312010,Couto de Magalhães de Minas,1
312040,Cristiano Otoni,4
312080,Cruzília,1
312087,Curral de Dentro,2
312090,Curvelo,42
312100,Datas,3
312110,Delfim Moreira,3
312120,Delfinópolis,3
312140,Desterro de Entre Rios,2
312160,Diamantina,29
312180,Dionísio,1
312190,Divinésia,3
312200,Divino,5
312210,Divino das Laranjeiras,2
312230,Divinópolis,41
312235,Divisa Alegre,2
312250,Dom Cavati,3
312310,Dores de Guanhães,2
312320,Dores do Indaiá,3
312330,Dores do Turvo,1
312360,Elói Mendes,2
312370,Engenheiro Caldas,4
312380,Engenheiro Navarro,1
312385,Entre Folhas,1
312390,Entre Rios de Minas,2
312410,Esmeraldas,5
312420,Espera Feliz,3
312430,Espinosa,5
312440,Espírito Santo do Dourado,1
312460,Estrela Dalva,1
312470,Estrela do Indaiá,1
312480,Estrela do Sul,5
312500,Ewbank da Câmara,1
312510,Extrema,5
312570,Felixlândia,3
312580,Fernandes Tourinho,1
312590,Ferros,7
312595,Fervedouro,1
312600,Florestal,3
312610,Formiga,11
312630,Fortaleza de Minas,2
312640,Fortuna de Minas,3
312670,Francisco Sá,4
312680,Frei Gaspar,2
312690,Frei Inocêncio,6
312700,Fronteira,2
312707,Fruta de Leite,1
312710,Frutal,12
312720,Funilândia,1
312730,Galiléia,1
312733,Gameleiras,3
312740,Gonçalves,2
312750,Gonzaga,2
312760,Gouveia,5
312770,Governador Valadares,83
312780,Grão Mogol,11
312800,Guanhães,5
312810,Guapé,4
312825,Guaraciama,1
312830,Guaranésia,3
312840,Guarani,1
312850,Guarará,3
312870,Guaxupé,5
312880,Guidoval,1
312900,Guiricema,1
312910,Gurinhatã,2
312930,Iapu,1
312950,Ibiá,8
312960,Ibiaí,1
312970,Ibiraci,2
312980,Ibirité,3
312990,Ibitiúra de Minas,1
313005,Icaraí de Minas,1
313010,Igarapé,2
313020,Igaratinga,1
313040,Ijaci,1
313050,Ilicínea,2
313055,Imbé de Minas,3
313060,Inconfidentes,1
313070,Indianópolis,2
313090,Inhapim,8
313100,Inhaúma,1
313110,Inimutaba,5
313115,Ipaba,2
313120,Ipanema,1
313130,Ipatinga,63
313140,Ipiaçu,2
313150,Ipuiúna,2
313160,Iraí de Minas,1
313170,Itabira,25
313180,Itabirinha,1
313190,Itabirito,7
313200,Itacambira,1
313210,Itacarambi,1
313220,Itaguara,3
313230,Itaipé,2
313240,Itajubá,13
313250,Itamarandiba,1
313270,Itambacuri,6
313290,Itamogi,1
313300,Itamonte,4
313330,Itaobim,11
313340,Itapagipe,1
313350,Itapecerica,6
313360,Itapeva,1
313370,Itatiaiuçu,2
313375,Itaú de Minas,1
313380,Itaúna,13
313390,Itaverava,2
313400,Itinga,3
313410,Itueta,1
313420,Ituiutaba,21
313440,Iturama,8
313460,Jaboticatubas,5
313470,Jacinto,1
313505,Jaíba,4
313507,Jampruca,2
313510,Janaúba,11
313520,Januária,7
313550,Jequeri,1
313560,Jequitaí,3
313570,Jequitibá,1
313580,Jequitinhonha,5
313620,João Monlevade,13
313630,João Pinheiro,13
313640,Joaquim Felício,5
313650,Jordânia,2
313657,Josenópolis,1
313665,Juatuba,6
313670,Juiz de Fora,76
