cod_ibge,uf,obitos
11,Rondônia,480
12,Acre,129
13,Amazonas,465
14,Roraima,110
15,Pará,1719
16,Amapá,97
17,Tocantins,595
21,Maranhão,1685
22,Piauí,1115
23,Ceará,2084
24,Rio Grande do Norte,605
25,Paraíba,1014
26,Pernambuco,1927
27,Alagoas,735
28,Sergipe,469
29,Bahia,2507
31,Minas Gerais,3705
32,Espírito Santo,846
33,Rio de Janeiro,2285
35,São Paulo,5650
41,Paraná,2772
42,Santa Catarina,1524
43,Rio Grande do Sul,1778
50,Mato Grosso do Sul,649
51,Mato Grosso,1098
52,Goiás,1757
53,Distrito Federal,465
0,Total,38265